service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3062,0,0,0,0,0,0,0,20220828,20221217
200_2,0,0,0,0,0,0,0,20220828,20221217
6112,0,0,0,0,0,0,0,20220828,20221217
3162,0,0,0,0,0,0,0,20220828,20221217
116_1,0,0,0,0,0,0,0,20220828,20221217
1052,0,0,0,0,0,0,0,20220828,20221217
433,0,0,0,0,0,0,0,20220828,20221217
8063,0,0,0,0,0,0,0,20220828,20221217
511_1,0,0,0,0,0,0,0,20220828,20221217
318_2,0,0,0,0,0,0,0,20220828,20221217
29_6,0,0,0,0,0,0,0,20220828,20221217
2072,0,0,0,0,0,0,0,20220828,20221217
6032,0,0,0,0,0,0,0,20220828,20221217
203_2,0,0,0,0,0,0,0,20220828,20221217
19_4,0,0,0,0,0,0,0,20220828,20221217
7092,0,0,0,0,0,0,0,20220828,20221217
408_1,0,0,0,0,0,0,0,20220828,20221217
603_2,0,0,0,0,0,0,0,20220828,20221217
8092,0,0,0,0,0,0,0,20220828,20221217
8082,0,0,0,0,0,0,0,20220828,20221217
16_3,0,0,0,0,0,0,0,20220828,20221217
49_1,0,0,0,0,0,0,0,20220828,20221217
202_2,0,0,0,0,0,0,0,20220828,20221217
207_3,0,0,0,0,0,0,0,20220828,20221217
3301_1,0,0,0,0,0,0,0,20220828,20221217
1062,0,0,0,0,0,0,0,20220828,20221217
87,0,0,0,0,0,0,0,20220828,20221217
322_4,0,0,0,0,0,0,0,20220828,20221217
113_1,0,0,0,0,0,0,0,20220828,20221217
301_2,0,0,0,0,0,0,0,20220828,20221217
504_1,0,0,0,0,0,0,0,20220828,20221217
10_3,0,0,0,0,0,0,0,20220828,20221217
81,0,0,0,0,0,0,0,20220828,20221217
6101,0,0,0,0,0,0,0,20220828,20221217
8025,0,0,0,0,0,0,0,20220828,20221217
7052,0,0,0,0,0,0,0,20220828,20221217
213_1,0,0,0,0,0,0,0,20220828,20221217
6092,0,0,0,0,0,0,0,20220828,20221217
412_1,0,0,0,0,0,0,0,20220828,20221217
434,0,0,0,0,0,0,0,20220828,20221217
42_3,0,0,0,0,0,0,0,20220828,20221217
124,0,0,0,0,0,0,0,20220828,20221217
503_1,0,0,0,0,0,0,0,20220828,20221217
39,0,0,0,0,0,0,0,20220828,20221217
209,0,0,0,0,0,0,0,20220828,20221217
310_5,0,0,0,0,0,0,0,20220828,20221217
6_3,0,0,0,0,0,0,0,20220828,20221217
8091,0,0,0,0,0,0,0,20220828,20221217
8024,0,0,0,0,0,0,0,20220828,20221217
7041,0,0,0,0,0,0,0,20220828,20221217
3081,0,0,0,0,0,0,0,20220828,20221217
55_1,0,0,0,0,0,0,0,20220828,20221217
18,0,0,0,0,0,0,0,20220828,20221217
52_1,0,0,0,0,0,0,0,20220828,20221217
203,0,0,0,0,0,0,0,20220828,20221217
115_5,0,0,0,0,0,0,0,20220828,20221217
220_1,0,0,0,0,0,0,0,20220828,20221217
204,0,0,0,0,0,0,0,20220828,20221217
111_1,0,0,0,0,0,0,0,20220828,20221217
317_2,0,0,0,0,0,0,0,20220828,20221217
6011,0,0,0,0,0,0,0,20220828,20221217
3222,0,0,0,0,0,0,0,20220828,20221217
41_2,0,0,0,0,0,0,0,20220828,20221217
147,0,0,0,0,0,0,0,20220828,20221217
32_2,0,0,0,0,0,0,0,20220828,20221217
612,0,0,0,0,0,0,0,20220828,20221217
321,0,0,0,0,0,0,0,20220828,20221217
4_4,0,0,0,0,0,0,0,20220828,20221217
45_1,0,0,0,0,0,0,0,20220828,20221217
426,0,0,0,0,0,0,0,20220828,20221217
30,0,0,0,0,0,0,0,20220828,20221217
209_2,0,0,0,0,0,0,0,20220828,20221217
2042,0,0,0,0,0,0,0,20220828,20221217
201_5,0,0,0,0,0,0,0,20220828,20221217
208,0,0,0,0,0,0,0,20220828,20221217
86,0,0,0,0,0,0,0,20220828,20221217
411_1,0,0,0,0,0,0,0,20220828,20221217
Rail MTuWThF-XHol,0,0,0,0,0,0,0,20220828,20221217
152_3,0,0,0,0,0,0,0,20220828,20221217
11_4,0,0,0,0,0,0,0,20220828,20221217
3051,0,0,0,0,0,0,0,20220828,20221217
3131,0,0,0,0,0,0,0,20220828,20221217
511,0,0,0,0,0,0,0,20220828,20221217
101_2,0,0,0,0,0,0,0,20220828,20221217
6041,0,0,0,0,0,0,0,20220828,20221217
6051,0,0,0,0,0,0,0,20220828,20221217
208_2,0,0,0,0,0,0,0,20220828,20221217
402_2,0,0,0,0,0,0,0,20220828,20221217
152_1,0,0,0,0,0,0,0,20220828,20221217
127_1,0,0,0,0,0,0,0,20220828,20221217
420,0,0,0,0,0,0,0,20220828,20221217
3041,0,0,0,0,0,0,0,20220828,20221217
702_1,0,0,0,0,0,0,0,20220828,20221217
78,0,0,0,0,0,0,0,20220828,20221217
1001_4,0,0,0,0,0,0,0,20220828,20221217
515,0,0,0,0,0,0,0,20220828,20221217
402,0,0,0,0,0,0,0,20220828,20221217
27_6,0,0,0,0,0,0,0,20220828,20221217
27_3,0,0,0,0,0,0,0,20220828,20221217
601_1,0,0,0,0,0,0,0,20220828,20221217
526,0,0,0,0,0,0,0,20220828,20221217
1051,0,0,0,0,0,0,0,20220828,20221217
35_5,0,0,0,0,0,0,0,20220828,20221217
8012,0,0,0,0,0,0,0,20220828,20221217
410,0,0,0,0,0,0,0,20220828,20221217
10_2,0,0,0,0,0,0,0,20220828,20221217
119_1,0,0,0,0,0,0,0,20220828,20221217
1_3,0,0,0,0,0,0,0,20220828,20221217
8072,0,0,0,0,0,0,0,20220828,20221217
2051,0,0,0,0,0,0,0,20220828,20221217
529,0,0,0,0,0,0,0,20220828,20221217
3111,0,0,0,0,0,0,0,20220828,20221217
7062,0,0,0,0,0,0,0,20220828,20221217
33_5,0,0,0,0,0,0,0,20220828,20221217
Rail SaSu+Hol,0,0,0,0,0,0,0,20220828,20221217
56_1,0,0,0,0,0,0,0,20220828,20221217
512,0,0,0,0,0,0,0,20220828,20221217
5_2,0,0,0,0,0,0,0,20220828,20221217
213,0,0,0,0,0,0,0,20220828,20221217
18_4,0,0,0,0,0,0,0,20220828,20221217
21_1,0,0,0,0,0,0,0,20220828,20221217
3_2,0,0,0,0,0,0,0,20220828,20221217
6052,0,0,0,0,0,0,0,20220828,20221217
528,0,0,0,0,0,0,0,20220828,20221217
8041,0,0,0,0,0,0,0,20220828,20221217
404,0,0,0,0,0,0,0,20220828,20221217
123_1,0,0,0,0,0,0,0,20220828,20221217
137,0,0,0,0,0,0,0,20220828,20221217
308_1,0,0,0,0,0,0,0,20220828,20221217
201_4,0,0,0,0,0,0,0,20220828,20221217
205,0,0,0,0,0,0,0,20220828,20221217
310,0,0,0,0,0,0,0,20220828,20221217
3182,0,0,0,0,0,0,0,20220828,20221217
405,0,0,0,0,0,0,0,20220828,20221217
506_1,0,0,0,0,0,0,0,20220828,20221217
527,0,0,0,0,0,0,0,20220828,20221217
145,0,0,0,0,0,0,0,20220828,20221217
603,0,0,0,0,0,0,0,20220828,20221217
2041,0,0,0,0,0,0,0,20220828,20221217
54_1,0,0,0,0,0,0,0,20220828,20221217
144,0,0,0,0,0,0,0,20220828,20221217
428,0,0,0,0,0,0,0,20220828,20221217
25_3,0,0,0,0,0,0,0,20220828,20221217
417_1,0,0,0,0,0,0,0,20220828,20221217
8042,0,0,0,0,0,0,0,20220828,20221217
3142,0,0,0,0,0,0,0,20220828,20221217
17,0,0,0,0,0,0,0,20220828,20221217
212,0,0,0,0,0,0,0,20220828,20221217
125,0,0,0,0,0,0,0,20220828,20221217
52_2,0,0,0,0,0,0,0,20220828,20221217
106,0,0,0,0,0,0,0,20220828,20221217
318_3,0,0,0,0,0,0,0,20220828,20221217
104_3,0,0,0,0,0,0,0,20220828,20221217
216_2,0,0,0,0,0,0,0,20220828,20221217
27_4,0,0,0,0,0,0,0,20220828,20221217
232,0,0,0,0,0,0,0,20220828,20221217
157,0,0,0,0,0,0,0,20220828,20221217
8102,0,0,0,0,0,0,0,20220828,20221217
901,0,0,0,0,0,0,0,20220828,20221217
310_1,0,0,0,0,0,0,0,20220828,20221217
20_4,0,0,0,0,0,0,0,20220828,20221217
503,0,0,0,0,0,0,0,20220828,20221217
711,0,0,0,0,0,0,0,20220828,20221217
123,0,0,0,0,0,0,0,20220828,20221217
20_2,0,0,0,0,0,0,0,20220828,20221217
604_2,0,0,0,0,0,0,0,20220828,20221217
407_2,0,0,0,0,0,0,0,20220828,20221217
429,0,0,0,0,0,0,0,20220828,20221217
39_3,0,0,0,0,0,0,0,20220828,20221217
154_2,0,0,0,0,0,0,0,20220828,20221217
801,0,0,0,0,0,0,0,20220828,20221217
408_3,0,0,0,0,0,0,0,20220828,20221217
410_1,0,0,0,0,0,0,0,20220828,20221217
153_2,0,0,0,0,0,0,0,20220828,20221217
