service_id,date,exception_type
7,20220828,1
7,20220904,1
7,20220911,1
7,20220918,1
7,20220925,1
43_3,20220829,1
43_3,20220830,1
43_3,20220831,1
43_3,20220901,1
43_3,20220902,1
43_3,20220905,1
43_3,20220906,1
43_3,20220907,1
43_3,20220908,1
43_3,20220909,1
43_3,20220912,1
43_3,20220913,1
43_3,20220914,1
43_3,20220915,1
43_3,20220916,1
43_3,20220919,1
43_3,20220920,1
43_3,20220921,1
43_3,20220922,1
43_3,20220923,1
43_3,20220926,1
43_3,20220927,1
43_3,20220928,1
43_3,20220929,1
43_3,20220930,1
318,20220902,1
318,20220909,1
318,20220916,1
318,20220923,1
318,20220930,1
316,20220829,1
316,20220831,1
316,20220902,1
316,20220905,1
316,20220907,1
316,20220909,1
316,20220912,1
316,20220914,1
316,20220916,1
316,20220919,1
316,20220921,1
316,20220923,1
316,20220926,1
316,20220928,1
316,20220930,1
6081,20220829,1
6081,20220830,1
6081,20220831,1
6081,20220901,1
6081,20220902,1
6081,20220905,1
6081,20220906,1
6081,20220907,1
6081,20220908,1
6081,20220909,1
6081,20220912,1
6081,20220913,1
6081,20220914,1
6081,20220915,1
6081,20220916,1
6081,20220919,1
6081,20220920,1
6081,20220921,1
6081,20220922,1
6081,20220923,1
6081,20220926,1
6081,20220927,1
6081,20220928,1
6081,20220929,1
6081,20220930,1
402_2,20220829,1
402_2,20220830,1
402_2,20220831,1
402_2,20220901,1
402_2,20220902,1
402_2,20220905,1
402_2,20220906,1
402_2,20220907,1
402_2,20220908,1
402_2,20220909,1
402_2,20220912,1
402_2,20220913,1
402_2,20220914,1
402_2,20220915,1
402_2,20220916,1
402_2,20220919,1
402_2,20220920,1
402_2,20220921,1
402_2,20220922,1
402_2,20220923,1
402_2,20220926,1
402_2,20220927,1
402_2,20220928,1
402_2,20220929,1
402_2,20220930,1
418,20220903,1
418,20220910,1
418,20220917,1
418,20220924,1
418,20221001,1
407_1,20220903,1
407_1,20220910,1
407_1,20220917,1
407_1,20220924,1
407_1,20221001,1
73_1,20220831,1
73_1,20220907,1
73_1,20220914,1
73_1,20220921,1
73_1,20220928,1
6111,20220829,1
6111,20220830,1
6111,20220831,1
6111,20220901,1
6111,20220902,1
6111,20220905,1
6111,20220906,1
6111,20220907,1
6111,20220908,1
6111,20220909,1
6111,20220912,1
6111,20220913,1
6111,20220914,1
6111,20220915,1
6111,20220916,1
6111,20220919,1
6111,20220920,1
6111,20220921,1
6111,20220922,1
6111,20220923,1
6111,20220926,1
6111,20220927,1
6111,20220928,1
6111,20220929,1
6111,20220930,1
203_3,20220828,1
203_3,20220904,1
203_3,20220911,1
203_3,20220918,1
203_3,20220925,1
2082,20220903,1
2082,20220910,1
2082,20220917,1
2082,20220924,1
2082,20221001,1
228,20220829,1
228,20220830,1
228,20220831,1
228,20220901,1
228,20220902,1
228,20220905,1
