route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2100,TZM,"210","Titahi Bay - Porirua","Porirua - Titahi Bay",3,,308ad9,000000
6110,NBM,"611","Karori (Wrights Hill) - Thorndon Colleges","Karori (Wrights Hill) - Thorndon Colleges",712,,00364a,ffffff
1700,TZM,"170","Lower Hutt - Wainuiomata South - Lower Hutt","Lower Hutt - Wainuiomata South - Lower Hutt",3,,308ad9,000000
2200,TZM,"220","Titahi Bay - Porirua - Ascot Park","Ascot Park - Porirua - Titahi Bay",3,,008854,000000
9966,TZM,"N66","After Midnight (Wellington - Lower Hutt - Waterloo - Wainuiomata)","After Midnight (Wellington - Lower Hutt - Waterloo - Wainuiomata)",3,,000000,ffffff
290,TZM,"29","Brooklyn - Owhiro Bay - Island Bay - Southgate - Newtown - Wellington","Wellington - Newtown - Southgate - Island Bay - Owhiro Bay - Brooklyn",3,,308ad9,000000
200,NBM,"20","Kilbirnie - Mt Victoria - Courtenay Place","Courtenay Place - Mt Victoria - Kilbirnie",3,,308ad9,000000
6120,NBM,"612","Karori - Thorndon Colleges","Karori - Thorndon Colleges",712,,00364a,ffffff
2500,UZM,"250","Paraparaumu - Raumati South - Paraparaumu","Paraparaumu - Raumati South - Paraparaumu",3,,308ad9,000000
6250,TZM,"625","Thorndon Colleges - Brooklyn - Kowhai Park","Thorndon Colleges - Brooklyn - Kowhai Park",712,,00364a,ffffff
7300,TZM,"730","Wellington East Girls' College - Island Bay","Wellington East Girls' College - Island Bay",712,,00364a,ffffff
2610,UZM,"261","Paraparaumu Beach - Paraparaumu (via Guildford Drive)","Paraparaumu - Paraparaumu Beach (via Guildford Drive)",3,,308ad9,000000
6850,TZM,"685","Karori - Wilton - Crofton Downs - Cardinal McKeefry, Otari Schools & Onslow College","Onslow College, Otari & Cardinal McKeefry Schools - Ngaio - Crofton Downs - Wilton - Karori",712,,00364a,ffffff
7360,NBM,"736","Karori (Wrights Hill) - Kelburn - Wellington College, St Mark's & Wellington High Schools","Karori (Wrights Hill) - Kelburn - Wellington College, St Mark's & Wellington High Schools",712,,00364a,ffffff
601,MNM,"60e","Porirua - Tawa - Johnsonville - Wellington","Wellington - Johnsonville - Tawa - Porirua",3,,636466,ffffff
120,NBM,"12","Strathmore Park - Kilbirnie - Newtown - Wellington","Wellington - Newtown - Kilbirnie - Strathmore Park",3,,308ad9,000000
9550,TZM,"955","Stokes Valley - Upper Hutt College","Upper Hutt College - Stokes Valley",712,,00364a,ffffff
6,RAIL,"JVL","Johnsonville Line (Johnsonville - Wellington)","Johnsonville Line (Wellington - Johnsonville)",2,,42c3dc,000000
270,TZM,"27","Vogeltown - Wellington","Wellington - Vogeltown",3,,308ad9,000000
7220,NBM,"722","Strathmore Park - Hataitai - Wellington East Girls' College","Wellington East Girls' College - Strathmore Park",712,,00364a,ffffff
520,MNM,"52","Johnsonville - Newlands - Wellington","Wellington - Newlands - Johnsonville",3,,308ad9,000000
840,NBM,"84","Eastbourne - Gracefield - Petone - Wellington","Wellington - Petone - Gracefield - Eastbourne",3,,636466,ffffff
5050,UZM,"505","Waikanae Beach North - Waikanae - Kapanui, Waikanae & Our Lady of Kapiti Schools","Waikanae Beach North - Waikanae - Kapanui, Waikanae & Our Lady of Kapiti Schools",712,,00364a,ffffff
6160,NBM,"616","Wellington Girls' & St Mary's Colleges - Karori","Wellington Girls' & St Mary's Colleges - Karori",712,,00364a,ffffff
7600,NBM,"760","Evans Bay Intermediate & Kahurangi Schools - Strathmore Park","Evans Bay Intermediate School - Strathmore Park",712,,00364a,ffffff
2260,TZM,"226","Sievers Grove - Elsdon - Sievers Grove","Sievers Grove - Elsdon - Sievers Grove",3,,308ad9,000000
8,EBYW,"WHF","Wellington Harbour Ferry (Days Bay - Queens Wharf)","Wellington Harbour Ferry (Queens Wharf - Days Bay)",4,,6cace4,000000
8530,TZM,"853","Maungaraki - Normandale - Hutt Central Schools","Hutt Central Schools - Normandale - Maungaraki",712,,00364a,ffffff
6800,TZM,"680","Churton Park - Johnsonville - Raroa Normal Intermediate School","Churton Park - Johnsonville - Raroa Normal Intermediate School",712,,00364a,ffffff
8420,TZM,"842","Kelson - Hutt Central Schools","Kelson - Hutt Central Schools",712,,00364a,ffffff
7760,TZM,"776","Rongotai College - Berhampore - Island Bay - Owhiro Bay","Rongotai College - Berhampore - Island Bay - Owhiro Bay",712,,00364a,ffffff
8880,NBM,"888","Eastbourne - Hutt Central Schools","Hutt Central Schools - Eastbourne",712,,00364a,ffffff
