stop_pattern_id,stop_id,stop_sequence,timepoint
849_1,9134,0,1
849_1,9133,1,0
849_1,9138,2,0
849_1,9137,3,0
849_1,9875,4,0
849_1,9876,5,0
849_1,9877,6,0
849_1,9139,7,0
849_1,9141,8,1
849_1,9121,9,1
849_1,8103,10,1
849_1,9135,11,1
849_1,9136,12,1
849_1,8152,13,1
849_1,8161,14,1
849_1,9197,15,1
849_1,8159,16,1
849_0,8159,0,1
849_0,8158,1,0
849_0,8156,2,1
849_0,9164,3,0
849_0,9165,4,0
849_0,8136,5,1
849_0,8135,6,1
849_0,9101,7,0
849_0,9102,8,0
849_0,8122,9,0
849_0,8120,10,1
849_0,8118,11,0
849_0,9134,12,0
849_0,9133,13,0
849_0,9138,14,0
849_0,9137,15,0
849_0,9875,16,0
849_0,9876,17,0
849_0,9877,18,0
849_0,9139,19,0
849_0,9141,20,1
33_1,4369,0,1
33_1,4368,1,0
33_1,4367,2,0
33_1,4366,3,0
33_1,4365,4,0
33_1,4364,5,0
33_1,4363,6,0
33_1,4362,7,0
33_1,4361,8,0
33_1,4360,9,0
33_1,4329,10,0
33_1,4328,11,0
33_1,4327,12,1
33_1,4326,13,0
33_1,4325,14,0
33_1,4324,15,0
33_1,4323,16,0
33_1,4322,17,0
33_1,4321,18,0
33_1,4320,19,0
33_1,4319,20,1
33_1,4317,21,0
33_1,4316,22,0
33_1,4315,23,0
33_1,4314,24,0
33_1,4313,25,0
33_1,4312,26,0
33_1,4311,27,0
33_1,5519,28,0
33_1,5520,29,1
261_1,1148,0,1
261_1,1248,1,0
261_1,1150,2,0
261_1,1250,3,0
261_1,1252,4,0
261_1,1254,5,0
261_1,1256,6,0
261_1,1258,7,0
261_1,1260,8,0
261_1,1262,9,0
261_1,1264,10,0
261_1,1266,11,0
261_1,1269,12,0
261_1,1271,13,0
261_1,1273,14,0
261_1,1275,15,0
261_1,1286,16,1
261_1,1288,17,0
261_1,1290,18,0
261_1,1292,19,0
261_1,1294,20,0
261_1,1194,21,0
261_1,1001,22,1
887_1,8858,0,1
887_1,8857,1,0
887_1,8856,2,0
887_1,8855,3,0
887_1,8854,4,0
887_1,8853,5,0
887_1,8852,6,0
887_1,8851,7,0
887_1,8850,8,0
887_1,8849,9,0
887_1,8848,10,0
887_1,8847,11,0
887_1,8846,12,0
887_1,8845,13,0
887_1,8844,14,0
887_1,8843,15,0
887_1,8842,16,0
887_1,8841,17,0
887_1,8840,18,0
887_1,8839,19,0
887_1,8838,20,0
887_1,8737,21,0
887_1,8735,22,0
887_1,8734,23,0
887_1,8733,24,0
887_1,8732,25,0
887_1,8731,26,0
887_1,8730,27,0
887_1,9153,28,0
887_1,9155,29,0
887_1,9156,30,0
887_1,9157,31,0
887_1,9158,32,0
887_1,9199,33,1
33_0,5520,0,1
33_0,5012,1,0
33_0,5015,2,0
33_0,5312,3,0
33_0,5313,4,0
33_0,5315,5,0
33_0,5316,6,0
33_0,5317,7,0
33_0,5318,8,0
33_0,5319,9,1
33_0,5320,10,0
33_0,5321,11,0
33_0,5322,12,0
33_0,5323,13,0
33_0,5324,14,0
33_0,5325,15,0
33_0,5326,16,0
33_0,5327,17,1
33_0,5328,18,0
33_0,5329,19,0
33_0,5360,20,0
33_0,5361,21,0
33_0,5362,22,0
33_0,5363,23,0
33_0,5364,24,0
33_0,5365,25,0
33_0,5366,26,0
33_0,5367,27,0
33_0,5368,28,0
33_0,5369,29,1
611_1,4396,0,1
611_1,4395,1,0
611_1,4394,2,0
611_1,4393,3,0
611_1,4392,4,0
611_1,4391,5,0
611_1,4390,6,0
611_1,4389,7,0
611_1,4388,8,0
611_1,4387,9,0
611_1,4386,10,0
611_1,4385,11,0
611_1,4384,12,0
611_1,4383,13,0
611_1,4382,14,0
611_1,4381,15,0
611_1,4320,16,0
611_1,4319,17,0
611_1,4317,18,0
611_1,4316,19,0
611_1,4315,20,0
611_1,4314,21,0
611_1,4313,22,0
611_1,4312,23,0
611_1,5104,24,1
611_1,5112,25,0
611_1,4113,26,1
611_1,5102,27,1
261_0,1001,0,1
261_0,1002,1,0
261_0,1100,2,0
261_0,1102,3,0
261_0,1200,4,0
261_0,1204,5,0
261_0,1206,6,0
261_0,1208,7,1
261_0,1211,8,0
261_0,1213,9,0
261_0,1215,10,0
261_0,1217,11,0
261_0,1228,12,0
261_0,1230,13,0
261_0,1232,14,0
261_0,1234,15,0
261_0,1236,16,0
261_0,1238,17,0
261_0,1240,18,0
261_0,1242,19,0
261_0,1244,20,0
261_0,1146,21,0
261_0,1148,22,1
887_0,8152,0,1
887_0,8163,1,0
887_0,8161,2,0
887_0,8159,3,1
887_0,8158,4,0
887_0,8157,5,0
887_0,8155,6,0
887_0,8154,7,0
887_0,8153,8,0
887_0,9730,9,0
887_0,9731,10,0
887_0,9732,11,0
887_0,9733,12,0
887_0,9735,13,0
887_0,9736,14,0
887_0,9837,15,0
887_0,9838,16,0
887_0,9839,17,0
887_0,9840,18,0
887_0,9841,19,0
887_0,9842,20,0
887_0,9843,21,0
887_0,9844,22,0
887_0,9845,23,0
887_0,9846,24,0
887_0,9847,25,0
887_0,9848,26,0
887_0,9849,27,0
887_0,8862,28,0
887_0,9851,29,0
887_0,9852,30,0
887_0,9853,31,0
887_0,9854,32,0
887_0,9855,33,0
887_0,9856,34,0
887_0,9857,35,0
887_0,9858,36,1
JVL_1,JOHN,0,1
JVL_1,RARO,1,1
JVL_1,KHAN,2,1
JVL_1,BOXH,3,1
JVL_1,SIML,4,1
JVL_1,AWAR,5,1
JVL_1,NGAI,6,1
JVL_1,CROF,7,1
JVL_1,WELL,8,1
JVL_0,WELL,0,1
JVL_0,CROF,1,1
JVL_0,NGAI,2,1
JVL_0,AWAR,3,1
JVL_0,SIML,4,1
JVL_0,BOXH,5,1
JVL_0,KHAN,6,1
JVL_0,RARO,7,1
JVL_0,JOHN,8,1
56_0,5000,0,1
56_0,5002,1,0
56_0,5515,2,0
56_0,5006,3,0
56_0,5008,4,0
56_0,5010,5,0
56_0,5012,6,0
56_0,5014,7,0
56_0,5016,8,1
56_0,5018,9,0
56_0,5020,10,0
56_0,5022,11,0
56_0,5024,12,0
56_0,5025,13,0
56_0,5026,14,0
56_0,5028,15,0
56_0,3260,16,0
56_0,3262,17,0
56_0,3264,18,0
56_0,3266,19,0
56_0,3600,20,0
56_0,3602,21,0
56_0,3604,22,0
56_0,3606,23,0
56_0,3608,24,1
56_0,3610,25,0
56_0,3410,26,0
56_0,3412,27,0
56_0,3414,28,0
56_0,3612,29,0
56_0,3614,30,0
56_0,3616,31,0
56_0,3618,32,0
56_0,3620,33,0
56_0,3622,34,0
56_0,3624,35,0
56_0,3482,36,0
56_0,3002,37,0
56_0,3250,38,1
56_1,3250,0,1
56_1,3400,1,0
56_1,3500,2,0
56_1,3502,3,0
56_1,3504,4,0
56_1,3506,5,0
56_1,3508,6,0
56_1,3510,7,0
56_1,3512,8,0
56_1,3514,9,0
56_1,3466,10,0
56_1,3468,11,0
56_1,3470,12,0
56_1,3540,13,1
56_1,3542,14,0
56_1,3544,15,0
56_1,3546,16,0
56_1,3548,17,0
56_1,3550,18,0
56_1,3254,19,0
56_1,3256,20,0
56_1,3258,21,0
56_1,5486,22,0
56_1,5488,23,0
56_1,5490,24,0
56_1,5492,25,0
56_1,5494,26,0
56_1,5496,27,0
56_1,5498,28,0
56_1,5500,29,1
56_1,5502,30,0
56_1,5506,31,0
56_1,5508,32,0
56_1,5510,33,0
56_1,5513,34,0
56_1,5514,35,0
56_1,5516,36,1
114_0,8580,0,1
114_0,9582,1,0
114_0,8539,2,0
114_0,8538,3,0
114_0,8559,4,1
114_0,8558,5,0
114_0,8556,6,0
114_0,8555,7,0
114_0,8554,8,0
114_0,8553,9,0
114_0,8552,10,0
114_0,8551,11,0
114_0,8550,12,0
114_0,8548,13,1
114_0,8547,14,0
114_0,8544,15,0
114_0,8543,16,0
114_0,8542,17,0
114_0,8540,18,0
114_0,9525,19,1
18_1,7241,0,1
18_1,7240,1,0
18_1,7239,2,0
18_1,7238,3,0
