from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9416,SILV,2,240,115__0__421__TZM__505__1__505__1,HVL__1__3853__RAIL__Rail_SaSu+Hol
8580,UPPE,2,240,112__1__404__TZM__505__1__505__1,HVL__1__3823__RAIL__Rail_SaSu+Hol
PETO2,9001,2,0,HVL__0__2642__RAIL__Rail_MTuWThF-XHol,150__0__125__TZM__416__1__416__1
3000,3000,2,120,1__0__481__TZM__205__1__205__1,19__0__441__TZM__111__2__111__2
TAIT2,9251,2,0,HVL__0__3862__RAIL__Rail_SaSu+Hol,120__0__743__TZM__406__406
PARA2,1001,2,240,KPL__0__6422__RAIL__Rail_SaSu+Hol,261__0__405__UZM__720__720
WATE2,9140,2,0,HVL__0__3854__RAIL__Rail_SaSu+Hol,160__0__443__TZM__412__412
MELL,9150,2,240,MEL__0__5640__RAIL__Rail_MTuWThF-XHol,145__0__117__TZM__407__2__407__2
7026,7224,2,240,12__1__722__NBM__19__19,2__0__841__NBM__6__6
UPPE,8579,2,240,HVL__0__3856__RAIL__Rail_SaSu+Hol,111__0__449__TZM__507__507
PORI2,2001,2,0,KPL__0__6466__RAIL__Rail_SaSu+Hol,220__0__749__TZM__308__308
8140,WATE1,2,0,170__0__727__TZM__602__602,HVL__1__3865__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,170__0__459__TZM__409__1__409__1,HVL__1__3865__RAIL__Rail_SaSu+Hol
8580,UPPE,2,240,110__1__154__TZM__513__2__513__2,HVL__1__3605__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6420__RAIL__Rail_SaSu+Hol,290__0__403__UZM__750__1__750__1
9001,PETO1,2,0,154__0__417__TZM__404__1__404__1,HVL__1__3847__RAIL__Rail_SaSu+Hol
UPPE,8579,2,240,HVL__0__3852__RAIL__Rail_SaSu+Hol,110__0__465__TZM__513__1__513__1
6733,6730,2,120,7__0__491__TZM__110__1__110__1,27__1__428__TZM__107__1__107__1
3000,3000,2,120,1__0__123__TZM__215__2__215__2,19__0__141__TZM__233__233
3000,3000,2,120,1__0__125__TZM__210__2__210__2,19__0__141__TZM__233__233
PETO2,9001,2,0,HVL__0__3826__RAIL__Rail_SaSu+Hol,150__0__705__TZM__401__401
4915,4915,2,0,21__1__450__NBM__200__1__200__1,22__1__450__NBM__13__2__13__2
PORI2,2003,2,0,KPL__0__6354__RAIL__Rail_MTuWThF-XHol,220__1__198__TZM__325__325
8251,TAIT1,2,0,120__1__400__TZM__401__1__401__1,HVL__1__3809__RAIL__Rail_SaSu+Hol
1501,WAIK,2,240,290__0__109__UZM__56__1__56__1,KPL__1__6309__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,21__0__709__NBM__33__33,22__0__709__NBM__19__19
PORI2,2001,2,0,KPL__0__6458__RAIL__Rail_SaSu+Hol,226__0__447__TZM__309__1__309__1
2002,PORI1,2,0,230__1__430__TZM__307__1__307__1,KPL__1__6465__RAIL__Rail_SaSu+Hol
5915,5915,2,0,21__0__717__NBM__4__4,22__0__717__NBM__28__28
WATE2,9140,2,0,HVL__0__3606__RAIL__Rail_MTuWThF-XHol,170__0__141__TZM__610__610
PARA2,1001,2,240,KPL__0__6456__RAIL__Rail_SaSu+Hol,262__0__723__UZM__118__3__118__3
MELL,9150,2,240,MEL__0__5624__RAIL__Rail_MTuWThF-XHol,145__0__111__TZM__435__435
2002,PORI1,2,0,230__1__102__TZM__303__2__303__2,KPL__1__8267__RAIL__Rail_MTuWThF-XHol
TAIT2,9251,2,0,HVL__0__3648__RAIL__Rail_MTuWThF-XHol,120__0__205__TZM__407__2__407__2
UPPE,8579,2,240,HVL__0__3846__RAIL__Rail_SaSu+Hol,110__0__727__TZM__502__502
9001,PETO1,2,0,150__1__438__TZM__406__1__406__1,HVL__1__3859__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,150__1__722__TZM__406__406,HVL__1__3859__RAIL__Rail_SaSu+Hol
6224,6224,2,240,2__1__828__NBM__42__42,12__0__719__NBM__19__19
6224,6224,2,240,2__1__826__NBM__41__41,12__0__719__NBM__19__19
9150,MELL,2,240,145__1__114__TZM__402__2__402__2,MEL__1__5623__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3826__RAIL__Rail_SaSu+Hol,110__0__707__TZM__502__502
PORI2,2002,2,0,KPL__0__6342__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__312__2__312__2
PORI2,2002,2,0,KPL__0__8224__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__312__2__312__2
3081,3081,2,120,19__0__145__TZM__223__223,1__1__164__TZM__108__2__108__2
7730,7730,2,120,27__0__137__TZM__125__125,7__1__226__TZM__124__124
5915,5915,2,0,22__0__711__NBM__19__19,21__0__711__NBM__23__23
3081,3081,2,120,19__0__701__TZM__104__104,1__1__706__TZM__110__110
5915,5915,2,0,22__0__719__NBM__36__36,21__0__719__NBM__3__1__3__1
7720,6720,2,0,29__0__117__TZM__107__2__107__2,7__0__181__TZM__146__146
PORI1,2002,2,0,KPL__1__6215__RAIL__Rail_MTuWThF-XHol,60__1__102__MNM__3031__3031
5915,5915,2,0,21__0__229__NBM__80__80,22__0__231__NBM__50__2__50__2
8140,WATE1,2,0,170__0__161__TZM__418__1__418__1,HVL__1__4621__RAIL__Rail_MTuWThF-XHol
7720,7700,2,60,29__0__109__TZM__213__2__213__2,7__1__156__TZM__144__144
PORI2,2003,2,0,KPL__0__6346__RAIL__Rail_MTuWThF-XHol,220__1__190__TZM__303__2__303__2
9001,PETO1,2,0,150__1__106__TZM__402__2__402__2,HVL__1__4609__RAIL__Rail_MTuWThF-XHol
7026,7224,2,240,12__1__430__NBM__16__2__16__2,2__0__497__NBM__12__2__12__2
1001,PARA1,2,0,262__1__148__UZM__34__4__34__4,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
3081,3081,2,120,60__1__136__MNM__3012__3012,1__1__210__TZM__103__2__103__2
6224,6224,2,240,2__1__580__NBM__32__2__32__2,12__0__451__NBM__42__2__42__2
WATE2,9165,2,0,HVL__0__3648__RAIL__Rail_MTuWThF-XHol,130__0__195__TZM__405__2__405__2
TAIT2,9251,2,0,HVL__0__3620__RAIL__Rail_MTuWThF-XHol,120__0__171__TZM__521__521
PORI2,2003,2,0,KPL__0__6418__RAIL__Rail_SaSu+Hol,220__1__750__TZM__307__307
8165,WATE1,2,0,130__1__150__TZM__427__427,HVL__1__3605__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3850__RAIL__Rail_SaSu+Hol,110__0__461__TZM__512__512
8140,WATE1,2,0,170__0__433__TZM__604__1__604__1,HVL__1__3841__RAIL__Rail_SaSu+Hol
3000,3000,2,120,1__0__151__TZM__203__2__203__2,60__0__123__MNM__3132__3132
8140,WATE1,2,0,160__1__702__TZM__603__603,HVL__1__3817__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__408__TZM__604__1__604__1,HVL__1__3817__RAIL__Rail_SaSu+Hol
3081,3081,2,120,19__0__433__TZM__207__1__207__1,1__1__476__TZM__211__1__211__1
8580,UPPE,2,240,110__1__110__TZM__511__1__511__1,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__556__NBM__31__2__31__2,12__0__439__NBM__200__1__200__1
PORI2,2003,2,0,KPL__0__6216__RAIL__Rail_MTuWThF-XHol,220__1__104__TZM__311__1__311__1
PORI2,2003,2,0,KPL__0__6216__RAIL__Rail_MTuWThF-XHol,220__1__104__TZM__311__2__311__2
PETO2,9001,2,0,HVL__0__3612__RAIL__Rail_MTuWThF-XHol,150__0__131__TZM__404__2__404__2
UPPE,8579,2,240,HVL__0__2626__RAIL__Rail_MTuWThF-XHol,110__0__119__TZM__517__517
8165,WATE1,2,0,130__1__106__TZM__433__433,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
TAIT2,9251,2,0,HVL__0__3846__RAIL__Rail_SaSu+Hol,120__0__727__TZM__403__403
2002,PORI2,2,0,60__0__413__MNM__2101__2101,KPL__0__6430__RAIL__Rail_SaSu+Hol
UPPE,8579,2,240,HVL__0__3822__RAIL__Rail_SaSu+Hol,112__0__405__TZM__504__1__504__1
PORI1,2002,2,0,KPL__1__6429__RAIL__Rail_SaSu+Hol,60__1__422__MNM__2021__2021
8140,WATE1,2,0,160__1__102__TZM__611__611,HVL__1__4603__RAIL__Rail_MTuWThF-XHol
6720,7720,2,120,7__0__227__TZM__124__124,29__1__140__TZM__115__2__115__2
7700,7720,2,30,7__1__228__TZM__221__1__221__1,29__1__140__TZM__115__2__115__2
PARA2,1001,2,240,KPL__0__6308__RAIL__Rail_MTuWThF-XHol,262__0__119__UZM__6__4__6__4
WATE2,9165,2,0,HVL__0__3650__RAIL__Rail_MTuWThF-XHol,150__0__153__TZM__601__2__601__2
9525,TREN1,2,0,114__0__105__TZM__509__1__509__1,HVL__1__2617__RAIL__Rail_MTuWThF-XHol
PORI2,2003,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,226__0__143__TZM__304__2__304__2
PORI2,2003,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,226__0__143__TZM__304__3__304__3
8165,WATE1,2,0,130__1__186__TZM__602__2__602__2,HVL__1__3633__RAIL__Rail_MTuWThF-XHol
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__314__314
9525,TREN1,2,0,114__0__121__TZM__506__2__506__2,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
8165,WATE1,2,0,130__1__114__TZM__415__2__415__2,HVL__1__2617__RAIL__Rail_MTuWThF-XHol
8165,WATE1,2,0,130__1__474__TZM__417__417,HVL__1__3855__RAIL__Rail_SaSu+Hol
8165,WATE1,2,0,130__1__742__TZM__408__408,HVL__1__3855__RAIL__Rail_SaSu+Hol
7720,6720,2,0,29__0__143__TZM__136__136,7__0__139__TZM__128__128
PARA2,1000,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,260__0__123__UZM__16__4__16__4
9001,PETO1,2,0,150__1__146__TZM__436__436,MEL__1__5637__RAIL__Rail_MTuWThF-XHol
PARA2,1000,2,0,KPL__0__6434__RAIL__Rail_SaSu+Hol,260__0__713__UZM__114__5__114__5
WAIK,1501,2,240,KPL__0__6426__RAIL__Rail_SaSu+Hol,281__0__407__UZM__708__708
WATE2,9165,2,0,HVL__0__3636__RAIL__Rail_MTuWThF-XHol,130__0__183__TZM__427__427
2003,PORI1,2,0,226__0__451__TZM__310__1__310__1,KPL__1__6459__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,226__0__159__TZM__324__324,KPL__1__6349__RAIL__Rail_F-XHol
2002,PORI1,2,0,230__1__116__TZM__303__2__303__2,KPL__1__6225__RAIL__Rail_MTuWThF-XHol
PORI2,2001,2,0,KPL__0__6314__RAIL__Rail_MTuWThF-XHol,226__0__131__TZM__320__320
2600,PARE,2,240,236__1__110__TZM__314__314,KPL__1__6213__RAIL__Rail_MTuWThF-XHol
9001,PETO1,2,0,154__0__109__TZM__403__2__403__2,HVL__1__4607__RAIL__Rail_MTuWThF-XHol
PORI1,2002,2,0,KPL__1__6425__RAIL__Rail_SaSu+Hol,60__1__708__MNM__1021__1021
2001,PORI1,2,0,220__0__741__TZM__308__308,KPL__1__6455__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__449__TZM__302__1__302__1,KPL__1__6455__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__740__TZM__304__304,KPL__1__6455__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__448__TZM__311__311,KPL__1__6455__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,226__0__439__TZM__310__1__310__1
7730,7730,2,120,27__0__705__TZM__208__208,7__1__714__TZM__114__114
8251,TAIT1,2,0,120__1__178__TZM__403__2__403__2,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__434__NBM__28__2__28__2,12__0__405__NBM__35__1__35__1
TAIT2,9251,2,0,HVL__0__3844__RAIL__Rail_SaSu+Hol,120__0__453__TZM__419__419
PARA2,1001,2,240,KPL__0__6232__RAIL__Rail_MTuWThF-XHol,261__0__115__UZM__4__5__4__5
PARA2,1001,2,240,KPL__0__6232__RAIL__Rail_MTuWThF-XHol,261__0__115__UZM__4__6__4__6
1501,WAIK,2,240,281__0__105__UZM__3__4__3__4,KPL__1__6215__RAIL__Rail_MTuWThF-XHol
1501,WAIK,2,240,281__0__105__UZM__3__5__3__5,KPL__1__6215__RAIL__Rail_MTuWThF-XHol
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_SaSu+Hol,226__0__451__TZM__310__1__310__1
1001,PARA1,2,0,260__1__416__UZM__709__709,KPL__1__6447__RAIL__Rail_SaSu+Hol
1001,PARA1,2,0,260__1__716__UZM__110__5__110__5,KPL__1__6447__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__128__TZM__312__2__312__2,KPL__1__8213__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__2622__RAIL__Rail_MTuWThF-XHol,112__0__109__TZM__514__514
TAIT2,9251,2,0,HVL__0__3818__RAIL__Rail_SaSu+Hol,120__0__407__TZM__408__1__408__1
WATE2,9165,2,0,HVL__0__3626__RAIL__Rail_MTuWThF-XHol,130__0__169__TZM__416__1__416__1
2003,PORI1,2,0,220__1__184__TZM__302__2__302__2,KPL__1__6333__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__191__TZM__303__2__303__2,KPL__1__6333__RAIL__Rail_MTuWThF-XHol
2002,PORI2,2,0,60e__0__103__MNM__3011__3011,KPL__0__6226__RAIL__Rail_MTuWThF-XHol
2002,PORI2,2,0,60e__0__103__MNM__3011__1__3011__1,KPL__0__6226__RAIL__Rail_MTuWThF-XHol
WATE2,9165,2,0,HVL__0__3840__RAIL__Rail_SaSu+Hol,150__0__421__TZM__418__418
2003,PORI1,2,0,226__0__441__TZM__311__311,KPL__1__6449__RAIL__Rail_SaSu+Hol
6055,6017,2,240,1__1__226__TZM__215__2__215__2,23__0__127__TZM__122__122
6224,6224,2,240,2__1__236__NBM__34__3__34__3,12__0__139__NBM__118__2__118__2
9525,TREN1,2,0,114__0__109__TZM__527__527,HVL__1__2625__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__423__TZM__302__1__302__1,KPL__1__6429__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__715__TZM__305__305,KPL__1__6429__RAIL__Rail_SaSu+Hol
8165,WATE1,2,0,150__1__412__TZM__406__1__406__1,HVL__1__3827__RAIL__Rail_SaSu+Hol
1501,WAIK,2,240,280__0__141__UZM__30__4__30__4,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3862__RAIL__Rail_SaSu+Hol,160__0__725__TZM__402__402
PARE,2600,2,240,KPL__0__6340__RAIL__Rail_MTuWThF-XHol,236__0__135__TZM__323__323
4915,4915,2,0,21__1__444__NBM__17__2__17__2,22__1__444__NBM__7__2__7__2
