route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
20,1_2,2__0__513__NBM__1__2__1__2,,0,,[@364.0.23226994@]1,,2,513
1100,404,110__0__709__TZM__404__404,,0,,[@356.0.42935074@]3,,2,709
30,12_2,3__0__417__NBM__12__2__12__2,,0,,[@360.0.6959122@]3,,2,417
10,205,1__1__790__TZM__205__205,,1,,[@364.0.17528045@]5,,2,790
7,6071,AX__1__166__MNM__6071__6071,,1,,[@366.0.7673003@]2,,2,166
830,209_2,83__0__147__NBM__209__2__209__2,,0,,[@364.0.23226528@]83:382#12651#12715,,2,147
2610,24_4,261__1__138__UZM__24__4__24__4,C=Continues on to Coastlands and Rimu Road Civic Centre after arriving at Paraparaumu Station,1,,[@6.0.93603882@]2,,2,138
6,Rail MTuWThF-XHol,JVL__1__9255__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9255
130,5_3,13__0__107__NBM__5__3__5__3,,0,,[@364.0.23227081@]2,,2,107
2900,58_1,290__0__129__UZM__58__1__58__1,,0,,[@364.0.36724235@]1,,2,129
1110,504_1,111__0__431__TZM__504__1__504__1,,0,,[@364.0.17527741@]1,,2,431
1200,402_1,120__1__446__TZM__402__1__402__1,,1,,[@364.0.17527449@]2,,2,446
70,219,7__0__471__TZM__219__219,,0,,[@364.0.17528115@]2,,2,471
320,137,32x__1__106__TZM__137__137,xFH=Operates non-stop between stops 7417/Adelaide Road near Hall Street and 5000/Courtenay Place – Stop A. Passengers may board and alight at any bus stop elsewhere along the route,1,,[@364.0.17528214@]1,,2,106
1100,403_1,110__0__437__TZM__403__1__403__1,,0,,[@356.0.42935074@]3,,2,437
30,34,3__1__766__NBM__34__34,,1,,[@360.0.6959122@]4,,2,766
30,37,3__1__802__NBM__37__37,,1,,[@360.0.6959122@]1,,2,802
1300,418,130__1__486__TZM__418__418,,1,,[@364.0.17527495@]1,,2,486
6,Rail Sa,JVL__0__9334__RAIL__Rail_Sa,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9334
9912,3_2,N2__0__101__NBM__3__2__3__2,,0,,[@356.0.30313424@]N2:3#74#140,,2,101
270,208,27__1__710__TZM__208__208,,1,,[@360.0.75333692@]1,,2,710
200,43,20__1__714__NBM__43__43,,1,,[@360.0.6960769@]2,,2,714
250,204_1,25__1__426__TZM__204__1__204__1,,1,,[@6.0.22281071@]2,,2,426
20,28,2__1__768__NBM__28__28,,1,,[@364.0.23226994@]2,,2,768
9,CCL Su+Hol-Xmas,CCL__0__10570__WCCL__CCL_Su+Hol-Xmas,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10570
2200,307,220__1__750__TZM__307__307,,1,,[@356.0.45924825@]5,,2,750
2800,27_5,280__0__123__UZM__27__5__27__5,,0,,[@6.0.7180610@]1,,2,123
2300,303,230__0__703__TZM__303__303,,0,,[@356.0.45924869@]230:660#21265#21288,,2,703
290,113,29__0__707__TZM__113__113,,0,,[@364.0.17529751@]2,,2,707
120,33_4,12__0__101__NBM__33__4__33__4,,0,,[@364.0.23227021@]2,,2,101
220,205_4,22__1__418__NBM__205__4__205__4,,1,,[@364.0.23227132@]5,,2,418
1600,606,160__1__140__TZM__606__606,,1,,[@356.0.42935312@]160:542#17618#17664,,2,140
9,CCL Sa,CCL__1__10476__WCCL__CCL_Sa,,1,,[@6.0.98043685@]CCL:857#24726#24728,,2,10476
1300,403,130__0__753__TZM__403__403,,0,,[@364.0.17527495@]3,,2,753
2900,154_1,290__0__719__UZM__154__1__154__1,,0,,[@364.0.36724235@]1,,2,719
120,22_1,12__0__449__NBM__22__1__22__1,,0,,[@364.0.23227021@]2,,2,449
5,Rail MTuWThF-XHol,HVL__1__2627__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,2627
2200,318_1,220__1__192__TZM__318__1__318__1,,1,,[@356.0.45924825@]2,,2,192
120,28_3,12__0__127__NBM__28__3__28__3,,0,,[@364.0.23227021@]4,,2,127
20,45_3,2__0__295__NBM__45__3__45__3,,0,,[@364.0.23226994@]1,,2,295
9,CCL Sa,CCL__0__10381__WCCL__CCL_Sa,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10381
230,203,23__1__710__TZM__203__203,,1,,[@364.0.17529510@]1,,2,710
1200,613,120__0__153__TZM__613__613,,0,,[@364.0.17527449@]1,,2,153
2000,1002_2,200__0__113__TZM__1002__2__1002__2,,0,,[@356.0.69435742@]1,,2,113
520,3132,52__0__131__MNM__3132__3132,,0,,[@360.0.6959370@]2,,2,131
2,Rail SaSu+Hol,KPL__0__6424__RAIL__Rail_SaSu+Hol,,0,,[@6.0.20608271@]KPL:815#24440#24452,,2,6424
1300,602_2,130__1__154__TZM__602__2__602__2,,1,,[@364.0.17527495@]1,,2,154
210,24_3,21__0__107__NBM__24__3__24__3,,0,,[@364.0.23227109@]2,,2,107
2610,34_4,261__1__142__UZM__34__4__34__4,C=Continues on to Coastlands and Rimu Road Civic Centre after arriving at Paraparaumu Station,1,,[@6.0.93603882@]2,,2,142
30,10_3,3__0__159__NBM__10__3__10__3,,0,,[@360.0.6959122@]2,,2,159
7190,48,719__0__101__NBM__48__48,,0,,[@360.0.6959786@]1,,2,101
6230,5_3,623__0__101__NBM__5__3__5__3,,0,,[@360.0.6959543@]623:952#25533#25587,,2,101
140,13_2,14__0__419__NBM__13__2__13__2,,0,,[@364.0.23225636@]2,,2,419
6,Rail MTuWThF-XHol,JVL__0__9270__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9270
5120,46_1,512__1__102__UZM__46__1__46__1,xW=School Bus - Operates during school term only. Operates non-stop between Waikanae and Kapiti College. Please check timetables for each separate weekday as trip times may vary by day of the week.,1,,[@6.0.7180898@]512:926#25115#25146,,2,102
140,27_4,14__0__195__NBM__27__4__27__4,,0,,[@364.0.23225636@]2,,2,195
10,215_1,1__0__495__TZM__215__1__215__1,,0,,[@364.0.17528045@]7,,2,495
140,11_2,14__0__447__NBM__11__2__11__2,,0,,[@364.0.23225636@]2,,2,447
2620,712,262__0__405__UZM__712__712,,0,,[@6.0.7180514@]1,,2,405
120,18_2,12__0__457__NBM__18__2__18__2,,0,,[@364.0.23227021@]2,,2,457
220,11_3,22__1__100__NBM__11__3__11__3,,1,,[@364.0.23227132@]5,,2,100
3,Rail MTuWThF-XHol,MEL__1__5615__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608303@]MEL:826#24532#24535,,2,5615
30,206_3,3__0__753__NBM__206__3__206__3,,0,,[@360.0.6959122@]2,,2,753
9,CCL Sa,CCL__1__10392__WCCL__CCL_Sa,,1,,[@6.0.98043685@]CCL:857#24726#24728,,2,10392
830,203_3,83__1__708__NBM__203__3__203__3,,1,,[@364.0.23226528@]83:378#12562#12628,,2,708
210,12_2,21__1__402__NBM__12__2__12__2,,1,,[@364.0.23227109@]1,,2,402
10,115,1__0__807__TZM__115__115,,0,,[@364.0.17528045@]7,,2,807
220,36,22__0__721__NBM__36__36,,0,,[@364.0.23227132@]6,,2,721
2360,318_2,236__1__100__TZM__318__2__318__2,SA=On school days travels via Aotea College,1,,[@356.0.45924880@]236:668#21404#21442,,2,100
30,37,3__0__729__NBM__37__37,,0,,[@360.0.6959122@]2,,2,729
5,Rail MTuWThF-XHol,HVL__1__3603__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3603
7,8071,AX__0__847__MNM__8071__8071,,0,,[@366.0.7673003@]1,,2,847
30,4_3,3__1__426__NBM__4__3__4__3,,1,,[@360.0.6959122@]4,,2,426
6,Rail Sa,JVL__1__9381__RAIL__Rail_Sa,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9381
9988,2_2,N88__0__105__NBM__2__2__2__2,,0,,[@356.0.30313526@]N88:20#819#882,,2,105
5,Rail MTuWThF-XHol,HVL__0__3656__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608367@]HVL:793#24218#24233,,2,3656
250,203,25__0__705__TZM__203__203,,0,,[@6.0.22281071@]1,,2,705
1700,602,170__0__701__TZM__602__602,,0,,[@356.0.42935339@]170:563#18351#18379,,2,701
1600,405,160__0__731__TZM__405__405,,0,,[@356.0.42935312@]4,,2,731
200,43,20__1__718__NBM__43__43,,1,,[@360.0.6960769@]2,,2,718
2100,305_1,210__0__415__TZM__305__1__305__1,,0,,[@356.0.45924814@]2,,2,415
220,203_5,22__0__217__NBM__203__5__203__5,,0,,[@364.0.23227132@]6,,2,217
10,218,1__0__779__TZM__218__218,,0,,[@364.0.17528045@]10,,2,779
8250,412_1,825__0__101__TZM__412__1__412__1,S=School Bus - Operates during school term only,0,,[@356.0.42934924@]825:1177#29413#29437,,2,101
2620,118_3,262__1__722__UZM__118__3__118__3,,1,,[@6.0.7180514@]2,,2,722
70,107,7__0__731__TZM__107__107,,0,,[@364.0.17528115@]2,,2,731
1500,401,150__1__716__TZM__401__401,,1,,[@6.0.21845698@]2,,2,716
30,65,3__0__265__NBM__65__65,,0,,[@360.0.6959122@]2,,2,265
10,208_2,1__0__117__TZM__208__2__208__2,,0,,[@364.0.17528045@]12,,2,117
6,Rail MTuWThF-XHol,JVL__1__9219__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9219
5,Rail SaSu+Hol,HVL__1__3869__RAIL__Rail_SaSu+Hol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3869
190,233,19__0__143__TZM__233__233,,0,,[@364.0.17528164@]1,,2,143
120,24_3,12__1__118__NBM__24__3__24__3,,1,,[@364.0.23227021@]3,,2,118
9,CCL MTuWThF-XHol,CCL__0__10457__WCCL__CCL_MTuWThF-XHol,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10457
2300,308_1,230__1__420__TZM__308__1__308__1,,1,,[@356.0.45924869@]230:656#21228#21251,,2,420
